t,x,y,z,speed
5.1,305.98,25.48,99.2283,60.2631
5.11,306.578,25.528,99.1703,60.2724
5.12,307.176,25.576,99.1112,60.282
5.13,307.774,25.624,99.0512,60.2917
5.14,308.372,25.672,98.9902,60.3015
5.15,308.97,25.72,98.9283,60.3115
5.16,309.568,25.768,98.8653,60.3217
5.17,310.166,25.816,98.8014,60.332
5.18,310.764,25.864,98.7365,60.3424
5.19,311.362,25.912,98.6706,60.3531
5.2,311.96,25.96,98.6037,60.3639
5.21,312.558,26.008,98.5359,60.3748
5.22,313.156,26.056,98.4671,60.3859
5.23,313.754,26.104,98.3972,60.3972
5.24,314.352,26.152,98.3264,60.4086
5.25,314.95,26.2,98.2547,60.4202
5.26,315.548,26.248,98.1819,60.4319
5.27,316.146,26.296,98.1082,60.4438
5.28,316.744,26.344,98.0335,60.4558
5.29,317.342,26.392,97.9578,60.468
5.3,317.94,26.44,97.8811,60.4804
5.31,318.538,26.488,97.8034,60.4929
5.32,319.136,26.536,97.7248,60.5056
5.33,319.734,26.584,97.6452,60.5184
5.34,320.332,26.632,97.5646,60.5314
5.35,320.93,26.68,97.483,60.5445
5.36,321.528,26.728,97.4004,60.5578
5.37,322.126,26.776,97.3169,60.5713
5.38,322.724,26.824,97.2323,60.5849
5.39,323.322,26.872,97.1468,60.5987
5.4,323.92,26.92,97.0603,60.6126
5.41,324.518,26.968,96.9729,60.6267
5.42,325.116,27.016,96.8844,60.6409
5.43,325.714,27.064,96.795,60.6553
5.44,326.312,27.112,96.7046,60.6698
5.45,326.91,27.16,96.6132,60.6845
5.46,327.508,27.208,96.5208,60.6994
5.47,328.106,27.256,96.4274,60.7144
5.48,328.704,27.304,96.3331,60.7295
5.49,329.302,27.352,96.2378,60.7449
5.5,329.9,27.4,96.1415,60.7603
5.51,330.498,27.448,96.0442,60.7759
5.52,331.096,27.496,95.9459,60.7917
5.53,331.694,27.544,95.8467,60.8077
5.54,332.292,27.592,95.7465,60.8237
5.55,332.89,27.64,95.6453,60.84
5.56,333.488,27.688,95.5431,60.8564
5.57,334.086,27.736,95.4399,60.8729
5.58,334.684,27.784,95.3358,60.8896
5.59,335.282,27.832,95.2306,60.9065
5.6,335.88,27.88,95.1245,60.9235
5.61,336.478,27.928,95.0174,60.9407
5.62,337.076,27.976,94.9094,60.958
5.63,337.674,28.024,94.8003,60.9755
5.64,338.272,28.072,94.6903,60.9931
5.65,338.87,28.12,94.5793,61.0108
5.66,339.468,28.168,94.4673,61.0288
5.67,340.066,28.216,94.3543,61.0469
5.68,340.664,28.264,94.2403,61.0651
5.69,341.262,28.312,94.1254,61.0835
5.7,341.86,28.36,94.0095,61.102
5.71,342.458,28.408,93.8926,61.1207
5.72,343.056,28.456,93.7747,61.1395
5.73,343.654,28.504,93.6558,61.1585
5.74,344.252,28.552,93.536,61.1777
5.75,344.85,28.6,93.4151,61.197
5.76,345.448,28.648,93.2933,61.2164
5.77,346.046,28.696,93.1706,61.236
5.78,346.644,28.744,93.0468,61.2557
5.79,347.242,28.792,92.922,61.2756
5.8,347.84,28.84,92.7963,61.2957
5.81,348.438,28.888,92.6696,61.3159
5.82,349.036,28.936,92.5419,61.3362
5.83,349.634,28.984,92.4132,61.3567
5.84,350.232,29.032,92.2836,61.3774
5.85,350.83,29.08,92.1529,61.3982
5.86,351.428,29.128,92.0213,61.4191
5.87,352.026,29.176,91.8887,61.4402
5.88,352.624,29.224,91.7552,61.4615
5.89,353.222,29.272,91.6206,61.4829
5.9,353.82,29.32,91.4851,61.5044
5.91,354.418,29.368,91.3485,61.5261
5.92,355.016,29.416,91.211,61.5479
5.93,355.614,29.464,91.0725,61.5699
5.94,356.212,29.512,90.9331,61.5921
5.95,356.81,29.56,90.7926,61.6143
5.96,357.408,29.608,90.6512,61.6368
5.97,358.006,29.656,90.5088,61.6594
5.98,358.604,29.704,90.3654,61.6821
5.99,359.202,29.752,90.221,61.705
6,359.8,29.8,90.0757,61.728
6.01,360.398,29.848,89.9294,61.7512
6.02,360.996,29.896,89.7821,61.7745
6.03,361.594,29.944,89.6338,61.798
6.04,362.192,29.992,89.4845,61.8216
6.05,362.79,30.04,89.3342,61.8453
6.06,363.388,30.088,89.183,61.8692
6.07,363.986,30.136,89.0308,61.8933
6.08,364.584,30.184,88.8776,61.9175
6.09,365.182,30.232,88.7234,61.9418
6.1,365.78,30.28,88.5682,61.9663
6.11,366.378,30.328,88.4121,61.991
6.12,366.976,30.376,88.255,62.0157
6.13,367.574,30.424,88.0969,62.0407
6.14,368.172,30.472,87.9378,62.0657
6.15,368.77,30.52,87.7777,62.091
6.16,369.368,30.568,87.6167,62.1163
6.17,369.966,30.616,87.4547,62.1418
6.18,370.564,30.664,87.2916,62.1675
6.19,371.162,30.712,87.1277,62.1933
6.2,371.76,30.76,86.9627,62.2192
6.21,372.358,30.808,86.7967,62.2453
6.22,372.956,30.856,86.6298,62.2715
6.23,373.554,30.904,86.4619,62.2979
6.24,374.152,30.952,86.293,62.3244
6.25,374.75,31,86.1231,62.3511
6.26,375.348,31.048,85.9523,62.3779
6.27,375.946,31.096,85.7804,62.4048
6.28,376.544,31.144,85.6076,62.4319
6.29,377.142,31.192,85.4338,62.4591
6.3,377.74,31.24,85.259,62.4865
6.31,378.338,31.288,85.0833,62.514
6.32,378.936,31.336,84.9065,62.5416
6.33,379.534,31.384,84.7288,62.5694
6.34,380.132,31.432,84.5501,62.5974
6.35,380.73,31.48,84.3704,62.6255
6.36,381.328,31.528,84.1898,62.6537
6.37,381.926,31.576,84.0081,62.682
6.38,382.524,31.624,83.8255,62.7105
6.39,383.122,31.672,83.6419,62.7392
6.4,383.72,31.72,83.4573,62.7679
6.41,384.318,31.768,83.2717,62.7969
6.42,384.916,31.816,83.0852,62.8259
